publisher,PGDR
"CAPCOM U.S.A., INC.",15.892344069289422
CD PROJEKT RED,69.0963787883973
CI Games,1.2981375659794214
Campfire Games,43.51854068050523
Campo Santo,-43.985196729487626
Camshaft Software,64.95651175434979
Capcom,15.81821591629534
CarX Technologies,38.35566988054676
Carpe Fulgur LLC,-8.72869991869564
Cats Who Play,20.36875751203016
Cellar Door Games,13.043630833133522
Charyb Games,516.8750014766393
"Chongqing Shangshixuan Technology Co., Ltd.,",71.15249411862612
Chubby Pixel,1217.1390123751517
Chucklefish,-5.351277543480224
Circle Five Studios,36.5082872696748
Clapfoot,-5.007536018276124
Clever Endeavour Games,130.46264603467486
Clickteam,7.093826096201866
Code Horizon,1.444399604271401
Codemasters,22.234641433733596
Code}{atch,-6.384855520109303
Coffee Stain Publishing,25.436457083923084
ColdGames,107.34015260303984
ConcernedApe,281.16056599702205
Coredumping,366.4680991984701
Crackshell,1.6740672968252526
Craneballs,82.34978642487847
Crate Entertainment,7.964448979044062
Creoteam,-26.93807185389441
Cristian Manolachi,4304.798018518702
Croteam,20.407764325719246
Crowbar Collective,56.18401380613097
Crytek,-1.4843428449764435
Curve Digital,39.758957122769615
Cyan Inc.,1.0382007974481375
Cybernetik Design,173.14610521899493
D-Games,72.65674754629548
D3 PUBLISHER,-11.594563586816934
DANGEN Entertainment,43.74515282435362
DANKIE,-76.76792657244206
DL Softworks,143.00135147232683
Daedalic Entertainment,13.748042255522744
Dan Fornace,70.43224643312747
Daniel Mullins Games,-12.803797457786397
David Mulder,218.4305573516893
David OReilly,4.221698018625316
Daybreak Game Company,-22.755549904144733
Days of Wonder,137.08925161504146
Deck13,43.74515282435362
Deep Silver,7.323136260609978
Defiant Development,15.94268748890294
Degica,11.27260296823796
DesktopPaints LLC,31.832171535852236
Devdan Games,-43.95562663157013
Devolver Digital,24.25757830023991
Digital Confectioners,-10.042159863930964
Digital Tribe,17.957341666920858
DigitalDNA Games LLC,-52.67761000662501
Digitalmindsoft,11.047244231857247
"Dingaling Productions, LLC",18.120630340296664
Dinosaur Polo Club,-1.4939598884495526
Disney Interactive,-0.7992812916990145
Displacement Studios,-70.880835695765
DistrictWare inc.,-14.850094490334518
Doborog Games,49.58859697484881
DolphinBarn,-58.97824462440743
Dominique Grieshofer,-6.05140068719363
DotEmu,-11.701635495718463
Double Damage Games,18.621455318295933
Double Fine Presents,10.885877683125166
Double Fine Productions,10.591873210577619
DoubleBear Productions,-2.2572689922169915
Dovetail Games - Fishing,3.928371935609208
Dovetail Games - Flight,8.265419578476108
Dovetail Games - TSW,32.24862188383923
Dovetail Games - Trains,2.13918536210373
Downpour Interactive,36.29600698148251
Dry Cactus,14.472585528791983
Dylan Fitterer,-5.539936283924156
Dymchick1,76.76663865891155
EarthWork Games,25.743030121626287
EcoGames,352.671214659419
Edmund McMillen,91.20544133061055
"Eek! Games, LLC",3.7244542228934736
