publisher,num_languages,%_positive_reviews,RPR
Badim,4.0,78.57142857142857,15.74577726882336
Bandai Namco,7.0,60.25386751289171,2.009131961083418
Bankroll Studios,15.0,63.59265734265735,2.5447241833796457
Bare Mettle Entertainment,1.0,81.12643678160919,5.412037143536304
Batterystaple Games,9.0,93.8033228558599,6.257726674840554
BattleGoat Studios,4.0,74.58471760797342,3.731101431114228
Beam Team Pty Ltd,1.0,75.01269357705002,5.004182360043363
BeamNG,1.0,95.50003820001528,3.8215301400566335
Beamdog,9.75,90.66281431860497,4.535408420140319
Beatshapers,1.0,69.23076923076923,13.87390164945275
Bedtime Digital Games,8.5,80.63214257172541,14.97871255617003
Behaviour Digital Inc.,13.0,82.32258347882421,4.118188268075249
Bennett Foddy,5.0,83.30254041570439,10.425849864293417
Berserk Games,1.0,96.07727570399476,4.806266918659068
Bethesda Softworks,6.833333333333333,85.10308827509839,5.050281603607824
Bethesda-Soft,7.0,88.28217421082124,4.41631686897555
Bethesda-Softworks,1.0,91.55756207674943,18.34820883301592
Big Ant Studios,1.0,74.13080649757765,2.802802020261938
Bigben Interactive,11.666666666666666,74.23977225876985,1.8272338323564548
Bitbox Ltd.,10.5,59.95855117180432,2.7001556401939864
Black Eye Games,8.0,70.33248081841433,3.518383232536985
Black Lime Studio,2.0,72.62773722627736,73.36135073361349
Black Maple Games,9.0,83.28048428942058,4.385491537094292
Black Shell Media,1.0,91.2280701754386,18.28217839187146
Blake Fix,1.0,93.75,23.49624060150376
BlankMediaGames,2.0,88.82091814638372,17.79978319566808
Blue Bottle Games,1.0,89.42632170978627,5.965731935275935
Blue Brain Games,13.0,87.67967145790554,4.386176661225891
Blue Isle Studios,5.0,64.80177843645795,2.5931083808106425
Bohemia Interactive,7.571428571428571,76.51532172957991,7.1426961540186245
Bossa Studios,7.0,71.79452713931934,5.370574897283651
Boxelware,2.0,90.7563025210084,5.044819484213919
Brace Yourself Games,11.0,96.246854141591,6.420737434395663
BrainStrainStudios,1.0,60.0,20.06688963210702
Brightrock Games,9.0,85.97208035410283,2.866691575661982
Brilliant Game Studios,2.0,70.4032258064516,4.696679506767952
Brilliant Skies Ltd.,1.0,90.6274206041828,6.045858612687312
"CAPCOM Co., Ltd.",9.8,85.85432953799526,5.563936069915647
"CAPCOM U.S.A., INC.",6.0,90.02911208151383,3.6026055254707416
CD PROJEKT RED,12.666666666666666,90.0696798447675,5.107211177642642
CI Games,9.0,57.371811636194586,4.432723208449207
Campfire Games,1.0,84.61791831357048,2.821537789715588
Campo Santo,7.0,84.75903181785534,4.24007162670612
Camshaft Software,5.0,90.51162790697674,3.018060283660445
Capcom,9.714285714285714,77.00576008497231,2.9964383586106726
CarX Technologies,2.0,88.33387044795359,8.842229274069428
Carpe Fulgur LLC,2.0,96.56025179856115,4.8304278038299735
Cats Who Play,4.0,83.81294964028777,5.990918487511634
Cellar Door Games,8.0,92.76451999564128,6.188426951010092
Charyb Games,1.0,60.19736842105263,44.94328366981105
"Chongqing Shangshixuan Technology Co., Ltd.,",4.0,70.73170731707317,5.899224963892675
Chubby Pixel,1.0,60.92434314656538,38.73993245973922
Chucklefish,1.0,92.06746308562718,7.713273812209247
Circle Five Studios,4.0,77.58557232241444,5.972715344296724
Clapfoot,1.0,79.06217539694318,3.955086313003661
CleanWaterSoft,1.0,100.0,20.04008016032064
Clever Endeavour Games,14.0,96.82388740966148,6.4592319819654085
Clickteam,3.0,89.91097922848664,0.8991997122560921
Code Horizon,13.0,66.68339187155043,3.3358375123336885
Codemasters,7.583333333333333,79.05933215835698,4.482604676193772
Code}{atch,1.0,53.815416344418665,5.386928563004871
Coffee Stain Publishing,10.0,90.72491584011125,7.529776615845127
ColdGames,16.0,71.96893787575151,5.144312928931488
ConcernedApe,12.0,98.79579241301624,6.590780014210557
Coredumping,1.0,93.2,6.661901358112938
Crackshell,1.0,88.7385421213444,8.882736949083522
Craneballs,10.0,68.28947368421052,3.4161817750980754
Crate Entertainment,11.0,94.87862784049614,3.796663779131498
Creoteam,12.0,91.24472573839662,4.564518546192928
Cristian Manolachi,1.0,47.05882352941176,23.647650014779774
Croteam,6.666666666666667,90.94467877942357,3.562844525991958
Crowbar Collective,7.0,95.57966321243524,4.781373847545535
Crytek,6.0,82.12905995135212,5.478923278942769
Curve Digital,12.0,90.2606448225326,5.5311744936234435
Cyan Inc.,10.0,78.70036101083032,2.624220107063365
Cybernetik Design,3.0,87.5,17.53507014028056
D-Games,3.0,56.09756097560976,14.059539091631516
D3 PUBLISHER,2.0,96.25831485587582,4.81532340449604
DANGEN Entertainment,5.0,95.30067702110712,4.767417559835274
DANKIE,1.0,77.73809523809524,78.52332852332853
DL Softworks,1.0,72.54257803599909,8.84990610444266
Daedalic Entertainment,11.25,81.48219171481271,4.4967800652107925
Dan Fornace,2.0,95.12531220394452,6.345918092324517
